"","X","id","source","target142","cse142","cse143","target143","numAdmApplication","admitStatus","gender","ethnic","transfer","Q5b","Q5d","Q5e","Q5f","Q7a","Q8a","Q8c","Q8d","Q8e","Q8g","Q8i","Q9","Q11","GPA","stdmath","stdverbal","stdcomb","appscores","cse142firstclass","cse142grade","cse143firstclass","cse143grade"
"1",1,"00067f00-8d04-5417-8ca9-2e2dab4967ce","student","CSE142",2,2,"CSE143",1,"DNA","M","NOT IND",NA,3,3,3,3,4,4,3,4,4,3,3,1,2,3.16,720,410,1130,NA,2,2.1,2,1.1
"2",2,"0022e155-4621-5444-a47f-7eaa5a8c77dd","student","CSE142",3,3,"CSE143",1,"DNA","M","CAUCASN",NA,1,3,2,1,2,5,4,4,4,3,2,1,1,3.39,800,640,1440,NA,3,3.2,3,2
"3",3,"00323d0b-b292-5d20-8386-9fe1e291b2c9","student","CSE142",1,1,"NA143",1,"DNA","M","NOT IND",NA,2,3,2,2,4,5,5,4,4,4,4,1,1,2.95,770,370,1140,NA,1,1.4,NA,NA
"4",4,"0032e465-77ff-57fe-ac92-96d90201213f","student","CSE142",1,1,"CSE143",1,"DNA","M","CAUCASN",NA,1,4,4,1,4,5,5,4,4,2,1,3,2,2.49,650,660,1310,NA,1,0,1,NA
"5",5,"0036433a-7f23-5c84-85e9-d5c992d14b30","student","CSE142",2,1,"NA143",1,"DNA","M","CAUCASN",NA,4,3,3,2,2,5,5,4,5,2,1,3,1,3.15,710,650,1360,NA,2,3.2,NA,NA
"6",6,"00398cf0-cfc2-5aff-956a-a7c290202b79","student","CSE142",2,1,"NA143",1,"DNA","M","CAUCASN",NA,3,4,4,1,3,5,3,3,5,4,2,1,2,2.73,770,570,1340,NA,2,2.5,NA,NA
"7",7,"004bc13b-d1b5-56c2-a8c8-5ad416195d02","student","CSE142",2,1,"NA143",1,"DNA","F","NOT IND",NA,3,3,NA,1,3,4,3,4,4,1,4,1,1,3.67,720,540,1260,NA,2,NA,NA,NA
"8",8,"00609241-3558-54d2-b09f-6d4bc08f321d","student","CSE142",1,1,"CSE143",1,"DNA","M","CAUCASN",NA,1,3,2,2,5,4,3,4,5,3,3,3,2,3.64,750,680,1430,NA,1,4,1,3.8
"9",9,"006e9c50-dcf8-558e-9609-ca4432f38601","student","CSE142",2,3,"CSE143",1,"DNA","M","CAUCASN",NA,2,4,3,1,5,5,3,5,5,2,3,1,2,3.32,650,760,1410,NA,2,3.1,3,2.5
"10",10,"0073687a-4e2f-59dc-925f-23d2656c7309","student","CSE142",3,3,"CSE143",1,"DNA","F","ASIAN",NA,4,2,1,1,1,3,3,NA,3,3,3,1,1,3.52,690,550,1240,NA,3,3.3,3,3.3
"11",11,"007b77cb-9057-51b3-8f7c-25ba65f7cd12","student","CSE142",1,1,"NA143",1,"DNA","M","ASIAN",NA,1,4,2,2,5,5,5,5,5,1,1,2,1,3.33,790,670,1460,NA,1,2.9,NA,NA
"12",12,"0098f1e9-2b10-509b-901a-0dfcff69b30e","student","CSE142",1,1,"NA143",1,"DNA","F","NOT IND",NA,1,1,1,1,2,5,5,5,5,5,5,1,1,3.61,780,535,1315,NA,1,3.6,NA,NA
"13",13,"00afe7a3-fab5-54b8-b69f-3829ffa36f78","student","CSE142",2,2,"CSE143",1,"Accept","M","CAUCASN",NA,1,4,2,1,5,4,4,4,3,1,2,1,1,3.52,640,640,1280,4,2,3.7,2,3.6
"14",14,"00c7ebee-6bb1-547c-a918-3d60af7a6985","student","CSE142",2,3,"CSE143",1,"DNA","M","CAUCASN",NA,2,3,4,2,3,5,4,3,5,4,4,1,1,3.49,650,510,1160,NA,2,4,3,3.9
"15",15,"00e0460e-1384-54cf-89c6-24db0d136a27","student","CSE142",1,1,"CSE143",1,"Accept","M","ASIAN",NA,2,4,1,3,5,5,3,5,5,1,2,1,2,3.94,760,660,1420,5,1,4,1,3.8
"16",16,"00eddb41-9df9-5c75-99de-d1d87ee20baa","student","CSE142",1,1,"CSE143",1,"DNA","M","CAUCASN",NA,NA,NA,NA,NA,5,4,4,5,4,2,1,1,3,3.43,650,580,1230,NA,1,3.5,1,3.7
"17",17,"00f783ce-d7cb-5d98-9cf0-63ec0a00ab5b","student","CSE142",2,2,"CSE143",1,"Accept","M","CAUCASN",NA,1,4,3,2,5,5,5,5,4,4,3,2,5,3.76,700,690,1390,5,2,4,2,3.9
"18",18,"01438ef7-983c-5ef6-96d2-12165722a30c","student","CSE142",3,3,"CSE143",2,"Accept","M","CAUCASN",NA,2,4,1,2,5,4,4,5,4,4,1,3,2,3.7,700,710,1410,4,3,3.8,3,3.7
"19",19,"015deff4-402f-56aa-953e-65ff7fbb7d87","student","CSE142",2,2,"CSE143",4,"Deny","M","ASIAN",NA,1,3,2,1,5,5,3,4,4,2,2,3,3,3.48,740,720,1460,3.5,2,3.5,2,3.3
"20",20,"0167ac68-36ec-5369-8472-f0c1f3ae2cd4","student","CSE142",1,1,"CSE143",1,"Accept","M","CAUCASN",NA,2,2,1,1,4,4,4,3,4,4,4,3,1,3.8,NA,NA,NA,4.5,1,4,1,3.6
"21",21,"0175e19d-5dfb-5549-b5a4-b8ee71df6f92","student","CSE142",1,1,"NA143",1,"DNA","F","NOT IND",NA,1,3,1,1,3,3,3,3,4,5,4,1,1,3.25,730,500,1230,NA,1,2.9,NA,NA
"22",22,"01a97881-c710-5233-ac37-5c9cf3d882ad","student","CSE142",1,2,"CSE143",2,"Accept","F","ASIAN",NA,1,2,1,1,3,4,2,3,5,4,2,1,1,3.71,680,710,1390,4,1,3.4,2,3.6
"23",23,"01b575c6-9c49-5d2b-9d05-6d0a8dc9054e","student","CSE142",1,1,"NA143",1,"DNA","M","ASIAN",NA,1,3,2,1,3,3,4,4,4,4,3,1,1,3.41,660,580,1240,NA,1,NA,NA,NA
"24",24,"01e47875-18b3-5961-8220-af719bf9d4b6","student","CSE142",1,1,"CSE143",1,"Deny","M","ASIAN",NA,1,4,1,1,5,4,5,5,3,5,2,2,1,3.14,700,440,1140,2,1,3,1,3.5
"25",25,"0203a3bb-2afa-5e52-a7f4-10acb7411d1b","student","CSE142",2,2,"CSE143",1,"DNA","F","CAUCASN",NA,4,2,1,2,1,4,3,4,4,4,4,1,1,3.76,770,740,1510,NA,2,3.7,2,4
"26",26,"0226b78f-9016-5408-87f3-7bd9144f6562","student","CSE142",1,1,"NA143",1,"DNA","F","NOT IND",NA,3,4,1,1,5,5,5,5,5,2,2,2,1,1.79,650,530,1180,NA,1,0.9,NA,NA
"27",27,"023f284c-211e-50eb-a020-77f19b1e201b","student","CSE142",1,2,"CSE143",1,"DNA","F","ASIAN",NA,1,3,1,3,4,5,5,2,4,3,1,1,1,2.92,690,700,1390,NA,1,3.6,2,3.4
"28",28,"0240e924-a5e8-57fa-bb59-f45b64d8c809","student","CSE142",3,3,"CSE143",1,"DNA","M","ASIAN",NA,4,3,3,1,3,5,4,5,5,1,1,3,2,3.44,NA,NA,NA,NA,3,3.4,3,2.4
"29",29,"025d43f4-3f92-5eb3-acc8-6a35b42dabc3","student","CSE142",1,1,"NA143",1,"DNA","F","AMER-IND",NA,4,3,3,1,3,5,2,4,4,4,2,1,1,2.53,640,550,1190,NA,1,NA,NA,NA
"30",30,"02811b13-db6d-58e4-8072-be4da8eeebd0","student","CSE142",1,1,"CSE143",1,"DNA","M","CAUCASN",NA,1,4,2,1,4,5,2,5,5,3,2,1,1,3.2,660,740,1400,NA,1,3.5,1,2
"31",31,"02899e71-ab0c-5cf3-acb4-319a23f4065d","student","CSE142",1,1,"CSE143",1,"DNA","M","CAUCASN",NA,3,3,2,1,4,5,4,3,4,4,3,2,1,3.37,660,590,1250,NA,1,3.6,1,3
"32",32,"028a465d-5199-5ae8-85bf-517f9ac34e2d","student","CSE142",1,1,"CSE143",1,"DNA","M","CAUCASN",NA,1,4,1,1,5,5,3,4,4,2,2,1,4,3.1,770,660,1430,NA,1,3.2,1,2.7
"33",33,"029126b8-bd99-55b0-80eb-ac456175519e","student","CSE142",2,2,"CSE143",1,"DNA","M","CAUCASN",NA,1,4,3,1,5,5,4,4,4,2,1,1,1,2.29,640,600,1240,NA,2,2.7,2,0
"34",34,"029d3bf5-649c-5445-8914-e8c371f93315","student","CSE142",1,1,"CSE143",1,"DNA","F","ASIAN",NA,1,3,1,1,4,5,5,5,5,2,1,1,1,3.07,640,560,1200,NA,1,2,1,2.9
"35",35,"02b0b360-2b44-53e8-8e98-91f6c39502e2","student","CSE142",1,1,"CSE143",1,"DNA","M","ASIAN",NA,4,3,1,1,5,5,3,4,4,4,3,1,1,2.97,580,480,1060,NA,1,3.7,1,3.3
"36",36,"02b7b8e5-2380-5b3f-b5dc-b5e7a30e2ea7","student","CSE142",1,1,"CSE143",1,"DNA","F","ASIAN",NA,1,4,3,3,5,5,5,5,4,4,2,2,4,2.39,670,350,1020,NA,1,1.7,1,3.3
"37",37,"02cb147c-7201-5b99-9bc6-c0b6546b3773","student","CSE142",2,1,"NA143",1,"DNA","M","CAUCASN",NA,3,4,2,1,4,2,3,5,4,2,4,1,1,3.8,630,600,1230,NA,2,3.8,NA,NA
"38",38,"02cfd3a0-4afa-50b6-8d62-17b7b57ce09a","student","CSE142",1,1,"NA143",1,"DNA","M","CAUCASN",NA,1,4,2,1,NA,3,3,5,4,2,1,1,1,2.89,580,630,1210,NA,1,1.3,NA,NA
"39",39,"0321995b-17ff-55ef-98ce-fac931c4c57c","student","CSE142",2,3,"CSE143",1,"Deny","M","CAUCASN",NA,1,3,1,1,5,4,4,4,4,4,3,1,2,3.54,590,580,1170,2,2,3.5,3,3.2
"40",40,"03295113-299a-5da1-bf04-7cca458f3c83","student","CSE142",1,1,"CSE143",1,"Accept","F","NOT IND",NA,3,3,1,1,4,5,5,3,4,4,4,1,1,3.86,NA,NA,NA,5,1,3.8,1,3.8
"41",41,"032ea40d-232b-53bc-941c-1ea54b316b94","student","CSE142",1,1,"CSE143",3,"Deny","M","ASIAN",NA,1,4,1,1,5,5,3,5,4,4,2,2,5,3.23,580,610,1190,2.5,1,3.2,1,3
"42",42,"032fef17-a481-5735-9e73-62a0c84f84f1","student","CSE142",2,3,"CSE143",1,"DNA","M","ASIAN",NA,3,3,1,2,3,5,4,3,4,2,3,2,1,3.41,630,630,1260,NA,2,2.8,3,2.5
"43",43,"034c0079-1c20-514b-8fe7-39f165e2fadc","student","CSE142",2,1,"NA143",1,"DNA","M","CAUCASN",NA,1,2,4,1,3,3,3,3,3,3,3,1,1,2.72,660,640,1300,NA,2,1.3,NA,NA
"44",44,"036e4ea3-84f8-5d24-b12a-1aee140dc9f1","student","CSE142",2,1,"NA143",1,"DNA","F","ASIAN",NA,4,4,1,1,5,4,2,2,4,2,2,1,2,3.2,NA,NA,NA,NA,2,2.3,NA,NA
"45",45,"0381ff9a-322e-5fdd-a8c5-1ba4e217fee1","student","CSE142",2,3,"CSE143",1,"DNA","M","NOT IND",NA,4,3,1,1,3,3,NA,4,5,4,4,1,1,3.02,730,660,1390,NA,2,2.9,3,0
"46",46,"0383bd58-5da3-57bb-8bc8-75709f7338eb","student","CSE142",1,1,"NA143",1,"DNA","F","ASIAN",NA,1,3,2,1,4,4,5,5,5,2,1,1,1,3.39,670,650,1320,NA,1,2.5,NA,NA
"47",47,"038b704e-cff1-57d5-95f9-ee26494251e1","student","CSE142",2,2,"CSE143",1,"DNA","F","ASIAN",NA,1,4,3,3,3,5,4,5,4,2,2,1,1,3.18,630,630,1260,NA,2,2.1,2,NA
"48",48,"03947f55-53d3-59de-a033-4e1dd70f68d3","student","CSE142",1,1,"NA143",1,"DNA","M","NOT IND",NA,2,4,1,2,5,4,4,5,5,1,1,1,2,3.31,620,600,1220,NA,1,2,NA,NA
"49",49,"039b554f-a0db-513f-b3b7-ee185eb26273","student","CSE142",3,3,"CSE143",2,"Accept","M","CAUCASN",NA,1,4,1,1,5,5,3,5,5,4,4,3,2,3.57,540,510,1050,4,3,4,3,3.9
"50",50,"03ad6719-5c7b-5896-a873-f3242d6e5dd9","student","CSE142",1,1,"CSE143",1,"DNA","M","CAUCASN",NA,1,4,1,1,5,5,3,5,5,2,2,2,3,3.53,700,700,1400,NA,1,3.4,1,3
"51",51,"03b2fdc6-7c8d-5047-a459-2c7eb0020d88","student","CSE142",1,2,"CSE143",1,"DNA","M","CAUCASN",NA,1,2,1,3,4,4,3,4,4,3,3,1,1,2.66,680,540,1220,NA,1,3.4,2,2.9
"52",52,"03bc913f-a7ca-5dc6-b9da-20aa056e789e","student","CSE142",1,2,"CSE143",1,"DNA","M","ASIAN",NA,2,4,3,2,5,5,4,5,4,2,2,2,1,3.66,650,560,1210,NA,1,3.5,2,2.7
"53",53,"03d56eb5-144a-5a8d-88a6-1f8294368fbb","student","CSE142",1,2,"CSE143",2,"Deny","M","CAUCASN",NA,1,3,1,1,5,5,4,5,5,2,2,4,5,3.08,670,610,1280,2,1,3.7,2,3.5
"54",54,"042e2e89-e55c-57a3-b4e6-f49c82997ed5","student","CSE142",2,2,"CSE143",3,"Deny","M","CAUCASN",NA,1,4,1,3,5,5,3,4,5,4,2,2,1,3.47,630,630,1260,3.5,2,3.6,2,3.9
"55",55,"044c891c-4adf-5aec-9678-23c9bf9a3de4","student","CSE142",1,3,"CSE143",1,"DNA","M","NOT IND",NA,2,4,2,2,4,3,4,3,4,4,2,1,1,3.59,800,395,1195,NA,1,3.3,3,2.7
"56",56,"044ed5e9-69c3-53f0-b5ce-b34c7dba451a","student","CSE142",1,2,"CSE143",1,"Accept","M","CAUCASN",FALSE,1,4,2,1,5,5,4,4,5,3,3,1,2,3.82,770,700,1470,4.5,1,4,2,3.9
"57",57,"045df941-daba-5c8c-ab46-b30d7d5bd701","student","CSE142",1,2,"CSE143",1,"DNA","M","CAUCASN",NA,1,3,1,2,4,5,4,4,4,3,3,1,1,3.44,590,600,1190,NA,1,3.2,2,NA
"58",58,"047b8d7e-8bca-5049-870e-0b98f94635ac","student","CSE142",1,1,"CSE143",1,"DNA","M","CAUCASN",NA,1,2,1,1,5,3,3,5,4,1,1,3,1,1.8,660,620,1280,NA,1,2.3,1,1.9
"59",59,"0491282d-5e29-5eb2-981a-966211adc3d4","student","CSE142",1,3,"CSE143",1,"DNA","F","NOT IND",NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,3.58,670,600,1270,NA,1,3.4,3,3.3
"60",60,"04ace2b3-d239-5956-a8d0-0929a5a2e664","student","CSE142",1,3,"CSE143",1,"DNA","F","NOT IND",NA,1,4,3,1,2,3,3,4,4,2,2,1,1,3.54,710,540,1250,NA,1,3.6,3,2.7
"61",61,"04c4fcbd-c635-5028-a117-cb0bcda973c8","student","CSE142",1,1,"NA143",1,"DNA","M","ASIAN",NA,1,4,3,2,5,5,5,4,4,4,3,2,2,1.37,600,480,1080,NA,1,3,NA,NA
"62",62,"04d25752-6d37-53d6-be22-a2b9ecc25625","student","CSE142",2,2,"CSE143",1,"DNA","M","CAUCASN",NA,1,3,2,1,3,5,4,4,4,5,3,2,1,3.16,570,560,1130,NA,2,3.4,2,3.3
"63",63,"04e97f67-5c03-536e-be26-d1133ab44dcf","student","CSE142",1,2,"CSE143",2,"Deny","M","ASIAN",FALSE,2,3,2,2,4,5,4,4,4,4,2,2,1,3.34,570,440,1010,3,1,3.7,2,2.9
"64",64,"04fdb8d5-7839-5499-8c30-8dec425a0ddd","student","CSE142",3,3,"CSE143",1,"DNA","F","NOT IND",NA,4,3,1,1,4,5,4,5,5,4,4,1,1,3.85,750,550,1300,NA,3,3.9,3,3.7
"65",65,"0534614c-6b0a-5390-93c9-a96d16789cd5","student","CSE142",3,3,"CSE143",1,"Accept","M","CAUCASN",FALSE,3,4,4,1,4,5,4,5,5,4,4,1,1,3.64,800,700,1500,4,3,4,3,4
"66",66,"053694ed-4d1d-5078-a042-a0c69833e956","student","CSE142",2,1,"NA143",1,"DNA","F","HAW/PAC",NA,3,2,1,2,3,5,3,3,4,4,3,1,1,3.27,600,590,1190,NA,2,3,NA,NA
"67",67,"05394972-f608-5053-b0c1-019f135e1973","student","CSE142",1,1,"NA143",1,"DNA","M","CAUCASN",NA,1,4,1,3,5,5,5,4,5,4,3,1,2,3.75,610,630,1240,NA,1,3.3,NA,NA
"68",68,"053b9f65-9a39-5840-ba8c-00c2efdc2bf5","student","CSE142",1,1,"NA143",1,"DNA","M","NOT IND",NA,3,4,3,2,4,3,3,4,4,3,3,1,1,2.2,800,470,1270,NA,1,NA,NA,NA
"69",69,"05474788-1587-5b0f-9df2-21d8bf373d1a","student","CSE142",1,1,"NA143",1,"DNA","F","CAUCASN",NA,NA,3,1,3,5,4,3,5,5,2,NA,2,1,3.47,660,590,1250,NA,1,2.5,NA,NA
"70",70,"0550ff80-241a-5dc2-a9fc-70d2f1a7617d","student","CSE142",2,2,"CSE143",1,"DNA","F","ASIAN",NA,4,2,1,1,3,5,5,3,5,5,4,1,1,3.13,690,710,1400,NA,2,2.9,2,2.7
"71",71,"057724f0-e59e-540d-bd3f-1a239bd9f7b0","student","CSE142",1,1,"CSE143",2,"Deny","M","ASIAN",FALSE,1,4,1,3,5,4,4,5,4,2,2,2,4,3.18,750,520,1270,2,1,2.3,1,2.6
"72",72,"058f467f-89ba-5f38-a81e-a270f4cfaa8a","student","CSE142",1,1,"CSE143",1,"DNA","F","CAUCASN",NA,4,2,1,1,3,3,3,2,4,2,2,1,1,3.12,610,555,1165,NA,1,2.9,1,NA
"73",73,"05a5eda7-3016-5e2f-972c-48cffcf3c546","student","CSE142",2,2,"CSE143",2,"Deny","M","CAUCASN",NA,2,4,3,4,5,5,5,5,2,4,2,4,3,3.47,630,510,1140,3,2,3.8,2,3.9
"74",74,"05b34ef5-ba6d-5c04-abe3-02b69a7baa08","student","CSE142",2,3,"CSE143",1,"DNA","M","CAUCASN",NA,1,NA,1,1,5,5,5,5,4,4,4,1,4,3.68,650,750,1400,NA,2,3.7,3,2.6
"75",75,"05fe52d5-5957-59c3-b20b-bc3b45513e6b","student","CSE142",1,2,"CSE143",1,"Deny","M","ASIAN",NA,1,4,1,1,5,5,5,5,5,4,4,2,2,3.45,740,580,1320,2,1,3.2,2,3
"76",76,"0600a59d-4b9f-5e79-b22e-38c357caa35a","student","CSE142",1,2,"CSE143",1,"SD","F","CAUCASN",FALSE,1,4,1,1,5,5,4,5,4,3,1,1,1,3.61,680,680,1360,3.5,1,3.5,2,3.8
"77",77,"061632db-7bf8-50f7-8300-779cb2a088bf","student","CSE142",1,1,"NA143",1,"DNA","F","CAUCASN",NA,2,3,2,1,4,2,3,4,5,4,1,1,1,2.7,600,480,1080,NA,1,1.7,NA,NA
"78",78,"061ccd9b-8389-5487-b105-f6d05975415b","student","CSE142",3,1,"NA143",1,"DNA","M","CAUCASN",NA,4,2,2,1,3,5,4,4,5,4,4,1,1,3.39,NA,NA,NA,NA,3,3.1,NA,NA
"79",79,"062a251f-c6a1-56e4-a907-7977aef0e185","student","CSE142",3,3,"CSE143",1,"DNA","M","CAUCASN",NA,1,4,1,1,5,5,1,5,3,2,1,1,4,1.6,610,535,1145,NA,3,2.6,3,0
"80",80,"062dbd9c-0889-5f1d-aabe-cc0e0f3f4336","student","CSE142",1,1,"CSE143",1,"DNA","M","NOT IND",NA,2,3,1,1,5,1,4,4,4,1,1,4,3,3.11,740,470,1210,NA,1,2.9,1,2.8
"81",81,"063984e8-113c-5127-a1e7-6fed3ea7d046","student","CSE142",1,1,"CSE143",1,"Deny","M","CAUCASN",NA,1,3,2,1,5,4,4,4,4,3,2,3,4,3.29,660,700,1360,2,1,2.6,1,3.1
"82",82,"06398c85-efbe-5165-b629-259044933d89","student","CSE142",1,1,"CSE143",1,"DNA","M","ASIAN",NA,1,4,4,1,4,4,4,4,4,1,1,1,1,2.94,600,460,1060,NA,1,3.4,1,3.5
"83",83,"063f6745-816d-53e7-934c-d345917ef209","student","CSE142",1,1,"NA143",1,"DNA","M","CAUCASN",NA,4,3,2,2,4,3,3,4,3,2,2,2,1,3.02,680,510,1190,NA,1,2.2,NA,NA
"84",84,"06407631-1495-5401-9be0-35bdbcd4504f","student","CSE142",1,1,"NA143",1,"DNA","F","CAUCASN",NA,1,3,2,1,5,5,3,4,5,3,3,2,2,2.51,620,520,1140,NA,1,0.9,NA,NA
"85",85,"064a060f-9277-5ecc-ab7a-f49499488e70","student","CSE142",2,2,"CSE143",1,"DNA","M","ASIAN",NA,2,4,1,1,4,4,2,4,3,4,2,2,2,3.36,790,680,1470,NA,2,4,2,3.5
"86",86,"0654e675-a074-5f57-9859-6f256d202e7a","student","CSE142",1,1,"CSE143",1,"DNA","M","AFRO-AM",NA,2,3,1,2,5,5,3,4,5,3,2,1,1,3.13,670,540,1210,NA,1,3.8,1,2.6
"87",87,"066a9a9c-9011-539d-84c5-48184d81fbf8","student","CSE142",1,1,"CSE143",1,"DNA","M","ASIAN",NA,2,4,2,2,5,5,4,4,3,1,1,1,2,3.09,600,430,1030,NA,1,4,1,3.4
"88",88,"067bbadf-21d3-5b83-b6a9-b1f6036a9964","student","CSE142",1,2,"CSE143",2,"Deny","M","CAUCASN",FALSE,1,4,1,1,5,3,3,5,3,2,4,1,2,3.69,650,620,1270,3.5,1,3.8,2,3.2
"89",89,"068366ef-d1c0-51e4-95ff-4a0bfdead164","student","CSE142",1,1,"NA143",1,"DNA","F","NOT IND",NA,2,3,1,1,5,5,5,4,4,3,3,1,1,3.13,780,730,1510,NA,1,2.6,NA,NA
"90",90,"0686c0f8-c3c8-5569-97c6-2407b0ec3b5f","student","CSE142",1,1,"CSE143",1,"DNA","F","CAUCASN",NA,1,3,1,4,4,4,3,3,5,4,3,1,1,3.85,670,680,1350,NA,1,3.6,1,3.2
"91",91,"069ded80-ca54-56fb-8371-ec9677fab8b2","student","CSE142",1,1,"CSE143",1,"DNA","M","ASIAN",NA,1,3,1,1,4,3,3,5,4,1,2,2,1,3.54,690,610,1300,NA,1,3,1,3.7
"92",92,"06b0aea6-b2b3-5c57-b724-24f8154f2eb6","student","CSE142",1,1,"CSE143",1,"DNA","M","NOT IND",NA,3,3,1,1,5,5,4,4,4,1,1,1,1,3.24,740,560,1300,NA,1,3.7,1,3.1
"93",93,"06d2c45e-f078-5eff-a0df-0b678e7adbb7","student","CSE142",1,1,"CSE143",1,"DNA","F","NOT IND",NA,1,4,1,1,5,5,4,5,4,1,2,1,1,3.52,800,670,1470,NA,1,3.6,1,3.1
"94",94,"071057d7-a7f4-54f6-8c94-012b5ab8b169","student","CSE142",2,2,"CSE143",1,"DNA","M","CAUCASN",NA,1,3,2,1,4,5,4,4,5,2,2,1,1,3.06,650,740,1390,NA,2,3.3,2,2.3
"95",95,"071aab69-1074-5dcc-ba1e-0034b9fc8a31","student","CSE142",1,1,"NA143",1,"DNA","M","ASIAN",NA,2,3,2,2,3,3,4,NA,3,3,2,1,1,3.35,680,640,1320,NA,1,0,NA,NA
"96",96,"0728a52b-6eaa-5507-98c2-a21c2449039e","student","CSE142",2,2,"CSE143",1,"DNA","M","NOT IND",NA,1,4,3,3,5,4,4,4,4,3,4,1,2,3.01,680,450,1130,NA,2,3.6,2,2.8
"97",97,"0734f339-6596-598a-acf4-4307938f9c6e","student","CSE142",1,2,"CSE143",1,"DNA","F","CAUCASN",NA,1,4,2,2,5,4,3,5,4,1,2,3,2,3.26,610,680,1290,NA,1,3,2,2.5
"98",98,"073fec7c-9509-5a58-ab41-98df6fb163ef","student","CSE142",1,1,"NA143",1,"DNA","M","NOT IND",NA,3,3,1,1,4,5,4,2,5,3,3,1,1,2.58,780,490,1270,NA,1,1.1,NA,NA
"99",99,"07408342-202f-5371-b476-357e623ba2d4","student","CSE142",1,1,"NA143",1,"DNA","F","CAUCASN",NA,1,4,1,1,3,3,4,4,5,4,4,1,1,3.49,650,630,1280,NA,1,3.2,NA,NA
"100",100,"07523929-d3fd-5b38-be65-8c16a5e06052","student","CSE142",1,1,"NA143",1,"DNA","M","NOT IND",NA,1,4,1,1,5,5,5,3,5,2,1,6,5,3.05,680,560,1240,NA,1,3.1,NA,NA
"101",101,"07579850-8a34-5d3d-aa22-9157e203dabb","student","CSE142",1,1,"NA143",1,"DNA","M","NOT IND",NA,NA,3,2,2,2,4,4,4,3,4,1,1,1,3.3,750,430,1180,NA,1,3.1,NA,NA
"102",102,"07687f47-77be-58e6-9a64-bbc1ad34ee82","student","CSE142",3,1,"NA143",1,"DNA","M","ASIAN",NA,4,2,1,3,1,3,4,4,4,1,4,3,1,3.11,NA,NA,NA,NA,3,0,NA,NA
"103",103,"0780c4ea-9a5f-5dc2-af5e-a9745dcb0a77","student","CSE142",2,3,"CSE143",1,"DNA","F","CAUCASN",NA,1,4,3,1,3,5,3,3,3,4,2,1,2,3.81,600,740,1340,NA,2,3.7,3,4
"104",104,"078190f5-5910-55ec-9ca3-a044a145df5a","student","CSE142",1,2,"CSE143",1,"DNA","F","ASIAN",NA,1,4,2,1,5,5,5,5,5,4,2,2,4,3.06,660,630,1290,NA,1,2.1,2,NA
"105",105,"0789f82f-e1d9-55a0-8563-9f19db65c528","student","CSE142",2,2,"CSE143",1,"DNA","M","ASIAN",NA,1,4,2,1,4,3,4,4,5,3,3,1,2,3.44,610,560,1170,NA,2,3.5,2,2.9
"106",106,"079b91c2-f6e7-54ec-9474-c72f8d3d0ba0","student","CSE142",2,1,"NA143",1,"DNA","M","NOT IND",NA,2,3,3,2,2,2,2,2,2,2,2,1,1,2.63,NA,NA,NA,NA,2,0,NA,NA
"107",107,"07de9dcd-9a11-5a91-9cf6-21644f813c6f","student","CSE142",3,1,"NA143",1,"DNA","M","CAUCASN",NA,3,4,3,2,4,5,5,4,4,2,2,1,1,3.37,710,620,1330,NA,3,NA,NA,NA
"108",108,"07e3f219-f2e3-5134-b749-1d941e00c2d0","student","CSE142",2,2,"CSE143",1,"Deny","F","CAUCASN",NA,3,4,1,1,4,5,4,4,5,2,2,2,1,3.64,660,800,1460,4.5,2,3.8,2,3.9
"109",109,"07f1337b-52ef-537e-9743-b0a8355e161c","student","CSE142",1,1,"CSE143",1,"Accept","M","CAUCASN",FALSE,1,4,2,3,5,4,3,5,4,3,4,1,2,3.95,710,740,1450,4.5,1,3.9,1,4
"110",110,"07fac44a-9907-57cf-878b-a71fa08c9193","student","CSE142",1,2,"CSE143",1,"DNA","M","CAUCASN",NA,1,3,1,1,5,4,2,4,4,1,2,3,1,2.94,740,730,1470,NA,1,3.6,2,2.8
"111",111,"07fd4be4-534e-5da6-a05e-d0fae71afe8a","student","CSE142",1,1,"NA143",1,"DNA","F","CAUCASN",NA,1,3,3,1,3,4,3,5,4,2,1,1,2,3.79,580,620,1200,NA,1,2.8,NA,NA
"112",112,"080264db-f2f3-55cb-b51f-b52e9a78178a","student","CSE142",1,1,"NA143",1,"DNA","M","CAUCASN",NA,1,4,1,1,5,5,3,4,4,2,2,1,1,2.08,660,610,1270,NA,1,0,NA,NA
"113",113,"08042ff8-986e-5ace-b53e-bd85f48abfdf","student","CSE142",1,1,"NA143",1,"DNA","M","CAUCASN",NA,4,3,1,1,3,3,3,3,3,3,4,1,1,3,670,560,1230,NA,1,1,NA,NA
"114",114,"081fe745-823e-5077-b185-3b45ee731156","student","CSE142",1,1,"CSE143",1,"Accept","M","NOT IND",NA,1,4,1,1,4,4,4,4,4,2,2,6,3,3.71,NA,NA,NA,4,1,3.3,1,3.9
"115",115,"0823e8f1-92c3-506f-91a7-9c53f2172685","student","CSE142",2,1,"NA143",1,"DNA","M","ASIAN",NA,4,4,1,1,1,5,4,4,4,3,3,1,1,3.08,720,550,1270,NA,2,1.7,NA,NA
