"","X","id","source","target142","cse142","cse143","target143","numAdmApplication","admitStatus","gender","ethnic","transfer","Q5b","Q5d","Q5e","Q5f","Q7a","Q8a","Q8c","Q8d","Q8e","Q8g","Q8i","Q9","Q11","GPA","stdmath","stdverbal","stdcomb","appscores","cse142firstclass","cse142grade","cse143firstclass","cse143grade"
"3041",3041,"e68b50b8-37ee-5d52-82bd-a2e228fe6288","student","CSE142",3,1,"NA143",1,"DNA","M","CAUCASN",NA,4,3,3,1,5,5,4,5,3,3,1,2,1,3.31,680,540,1220,NA,3,3.2,NA,NA
"3042",3042,"e68f8ac7-d455-538e-a32d-404f1f516367","student","CSE142",3,1,"NA143",1,"DNA","F","CAUCASN",NA,1,4,1,1,4,3,3,3,3,3,3,1,1,3.36,680,740,1420,NA,3,4,NA,NA
"3043",3043,"e68fa31a-e56e-500a-894e-736a789c6bd0","student","CSE142",2,2,"CSE143",2,"SD","F","CAUCASN",NA,1,4,4,4,5,5,5,4,5,4,3,2,1,3.65,710,NA,NA,4,2,3.7,2,3.4
"3044",3044,"e6a9cd42-7734-5c96-9ded-c425360587cc","student","CSE142",1,2,"CSE143",1,"Accept","M","ASIAN",NA,1,4,1,1,5,5,3,5,5,1,1,2,4,3.49,790,630,1420,NA,1,4,2,3.9
"3045",3045,"e6ab05c3-0e5d-58fe-9349-e1f4768f91b3","student","CSE142",1,1,"CSE143",1,"Accept","M","NOT IND",FALSE,1,4,2,1,5,4,5,3,4,4,2,1,1,3.8,750,470,1220,4,1,3.8,1,3.7
"3046",3046,"e6b5b118-83c6-577e-9a69-097d205caf86","student","CSE142",1,1,"NA143",1,"DNA","F","CAUCASN",NA,2,4,1,1,4,4,4,4,4,3,2,1,1,3.85,650,760,1410,NA,1,NA,NA,NA
"3047",3047,"e6b613c9-48e6-52ea-ab21-504b9714ee18","student","CSE142",2,1,"NA143",1,"DNA","M","NOT IND",NA,3,3,1,1,4,5,3,4,4,3,2,1,2,1.78,580,420,1000,NA,2,0,NA,NA
"3048",3048,"e6d4af83-f0be-5fc2-8257-ee3fe323995b","student","CSE142",3,3,"CSE143",1,"Deny","M","ASIAN",NA,3,4,2,2,5,4,4,5,4,2,1,4,2,3.51,690,495,1185,3,3,3.5,3,3.1
"3049",3049,"e6d4f751-a6c6-54fe-9192-d35315fdd318","student","CSE142",1,2,"CSE143",1,"DNA","F","NOT IND",NA,2,4,4,2,5,5,5,2,5,2,1,1,1,3.7,730,650,1380,NA,1,3.1,2,3.2
"3050",3050,"e6d9da5a-7af3-53ee-b36e-62f9a69eb147","student","CSE142",1,3,"CSE143",1,"Deny","M","NOT IND",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.38,630,NA,NA,3,1,3,3,4
"3051",3051,"e6dfef2d-7b46-5f41-8013-11037a6b8405","student","CSE142",3,4,"CSE143",2,"Deny","M","CAUCASN",NA,1,4,3,1,4,5,4,4,5,5,2,1,2,3.67,720,750,1470,3,3,3.7,4,3.4
"3052",3052,"e6e9502c-52e4-52d9-86c7-26fb12cbb8ce","student","CSE142",1,1,"NA143",1,"DNA","F","NOT IND",NA,3,3,1,1,4,3,3,4,4,5,4,1,1,3.44,760,440,1200,NA,1,2.9,NA,NA
"3053",3053,"e6f72c1c-1818-5846-83fc-450cdb35c718","student","CSE142",2,2,"CSE143",1,"DNA","F","NOT IND",NA,4,2,1,1,3,3,4,3,4,4,3,1,1,3.76,NA,NA,NA,NA,2,3,2,3.8
"3054",3054,"e6fe9bf5-354b-5176-baf4-cab79d4b0b5b","student","CSE142",2,2,"CSE143",1,"Accept","M","CAUCASN",NA,1,4,1,1,5,5,3,5,4,3,2,1,1,3.82,720,800,1520,4.5,2,4,2,4
"3055",3055,"e74bf694-1e53-5719-bcfa-473921d4b2b2","student","CSE142",3,3,"CSE143",1,"DNA","M","ASIAN",NA,1,4,2,1,5,5,4,5,4,4,2,6,2,2.93,NA,NA,NA,NA,3,3.6,3,NA
"3056",3056,"e7594c4f-47b1-5173-8b5a-8dfd7f8ad837","student","CSE142",1,1,"CSE143",1,"DNA","M","ASIAN",NA,3,3,2,2,4,3,3,3,3,3,3,2,2,1.89,730,610,1340,NA,1,3.2,1,NA
"3057",3057,"e75b8cfb-d75f-5ef2-bbe2-8fc9f034ba02","student","CSE142",1,3,"CSE143",1,"DNA","M","ASIAN",NA,1,4,1,1,5,4,1,5,4,2,1,3,1,2.7,540,560,1100,NA,1,2.2,3,2.2
"3058",3058,"e75dd197-5ed6-55d5-9efc-34e5c7d24b45","student","CSE142",1,3,"CSE143",1,"DNA","M","NOT IND",NA,3,4,1,1,4,4,4,4,5,3,2,2,2,3.53,690,480,1170,NA,1,3.2,3,2.4
"3059",3059,"e76c99a4-a3e1-57a6-bfe0-c02a207e9de5","student","CSE142",1,1,"CSE143",1,"Accept","M","NOT IND",NA,2,4,1,1,5,4,5,5,4,3,5,1,1,3.91,800,460,1260,4,1,3.6,1,3.7
"3060",3060,"e76edb86-9686-5d23-a9c0-88df6a39feb9","student","CSE142",3,1,"NA143",1,"DNA","M","ASIAN",NA,1,3,2,1,5,4,5,4,5,4,3,1,1,3.1,500,450,950,NA,3,NA,NA,NA
"3061",3061,"e77d5fd6-4436-564a-8e41-b4c5ce709a84","student","CSE142",3,3,"CSE143",1,"DNA","M","CAUCASN",NA,4,3,1,1,4,5,5,4,3,4,2,1,1,2.77,600,520,1120,NA,3,2.9,3,3.5
"3062",3062,"e799c609-4ed5-5300-af5b-8a4ac12904e2","student","CSE142",1,2,"CSE143",2,"Deny","M","ASIAN",FALSE,NA,3,NA,NA,5,3,3,2,4,2,2,1,1,3.68,690,760,1450,3,1,3.5,2,3.6
"3063",3063,"e7a600db-0e17-55b8-845e-bb8fcfe4b35a","student","CSE142",2,3,"CSE143",1,"DNA","M","NOT IND",NA,2,3,1,1,2,5,4,5,5,4,2,1,1,3.55,600,630,1230,NA,2,3.2,3,3
"3064",3064,"e7ba45cb-30df-52d6-9cb5-7718f187df5d","student","CSE142",2,2,"CSE143",1,"DNA","M","CAUCASN",NA,1,4,2,1,5,5,4,5,4,3,2,1,1,2.53,580,520,1100,NA,2,2.6,2,2.2
"3065",3065,"e7c5a158-4026-5641-a4cb-b40c1ec94da3","student","CSE142",1,2,"CSE143",1,"Deny","M","ASIAN",FALSE,4,3,2,3,5,5,5,4,5,1,2,2,1,3.34,690,NA,NA,3,1,3.6,2,3.1
